PC1,PC2,target_fraud
10968.671232482928,8274.399763412554,0
8709.325017546493,2250.4073025166763,0
-12801.196379755645,-2578.2724807532386,0
-13909.457298821211,-2208.3089442845,0
-7765.235226762138,-4970.428057950354,0
-8070.595613024025,9083.543445704632,0
14258.23268712483,12256.4713397213,0
1202.4409732481454,767.7480373548538,0
2104.803828455726,-2447.8796010738665,0
-5382.679638732985,1971.8116363448044,0
-2607.1596332886747,-7312.672531454261,0
-12491.742564667966,175.37306849946253,0
39235.305426223065,2602.8601535557145,0
14228.350918004322,2006.499106537337,1
-12207.298846382135,-3534.6047023997257,0
2566.100147101304,-4349.014366328738,0
5801.246000935931,-4078.3775441897624,0
-442.9924191226546,-1344.4026039758598,1
27095.618381224907,748.2583136784938,1
-12666.320348424419,-2753.884570183496,0
-1060.564708455926,-6800.018337770001,0
11624.590949002097,-1589.0194987106179,1
-12129.852021329512,-3976.6224211751023,0
2308.019224131298,-7272.772264726918,0
-11191.220627458319,-3543.546329487696,0
-9344.25845596712,-2316.2505542711983,0
7345.07524122468,-10432.936198045947,0
-2281.101887063238,-4721.186200743381,0
13489.33986015819,1529.1692065376483,0
-7216.895781450003,9663.367254063598,0
-1687.7808265002968,-714.6905077361766,0
-5158.412261594049,4036.5771294311244,0
-8039.595166078911,-1343.6644616277556,0
-12464.42114946094,-2994.180190471564,0
-11930.3486215257,-2225.0216807436436,0
284.1545874642161,10166.290913136392,0
15147.065080281092,15742.02773318729,0
-13319.187884950687,-419.1925896297298,0
-3025.1082710412393,-1162.1093665896144,0
-7648.172976299769,6914.970587508817,0
-5685.599974496337,8794.005646915817,0
-9360.110764786004,-3013.8228729808707,0
-13893.48010545407,-2364.023460916328,0
-10656.86985316548,-2413.601437352443,0
25290.54741826618,3023.5414840602134,1
5669.577180194901,138.97576166515864,0
-14107.020930305693,-3099.884643574052,0
18446.14828065592,-2748.2681772748774,0
30360.65783665893,-10017.461049118177,0
-9036.286219475116,-1258.7249657105604,0
14334.210245157166,-11883.016772741019,0
10687.855257030027,-3017.0509669873704,0
-8463.748788617897,2543.8251800732605,1
-6586.722083506822,-3237.253264886144,1
-2944.6865065999136,2871.042502546,0
-14121.620098872721,-1446.0360129262856,0
-8028.5198924883525,462.5208022640086,0
-12114.64357959275,-2992.5738507617334,0
-6101.298353661599,-952.7212487329784,0
-7209.963737969498,4147.374691493563,0
846.4643509779307,12671.422188509354,0
-8543.352419334245,-3509.791666819775,0
-7477.221900134619,6478.08063301167,0
847.3615179008684,7338.414869640026,0
33027.95792493274,-923.0362878405422,0
22043.17513632818,-1831.962913100377,0
148.93946889644758,1547.8271523735812,0
27660.197103199003,-13896.928598809602,0
9746.691699325966,-8521.860563383932,0
26879.540376087687,2880.5777665681744,1
-7167.506543111672,899.8114076295878,0
-6305.453565870848,-153.03428733528926,0
-885.9431501534273,-5390.020140725925,1
-4283.373577214541,5359.412457679777,0
21405.2282626858,6546.897366982996,0
-897.9613378138765,5016.449498281594,0
2195.783589210707,2746.0162639361397,0
6000.269160992553,-519.7659667438215,0
-4409.955763516804,4638.223259434243,1
-9224.409091848609,-3684.590437201736,0
-7076.875982376302,-4511.918771026649,0
-4157.821838928066,600.7148117411152,0
-9709.237220557334,7457.636453164459,0
26639.446404538867,-5883.081760799165,0
6911.906487475095,-9158.71605613964,1
4701.924549109612,5672.9166906060655,0
8118.0540875077495,-7370.580049959974,1
11144.810725941385,-5233.861987209277,0
14590.431921729352,2087.5753788643788,0
15758.857913990902,-5331.941783272001,0
5014.546039832283,-8641.84206342699,0
21849.4760406426,-12477.80475686404,0
15363.162323568624,-783.8625040641468,0
6941.785128686173,-7715.909278732531,0
4058.828840615297,2974.891506229701,0
24287.905922259582,5894.877478226776,1
-4278.5203640742675,677.1621776578281,0
-10110.853909337107,7292.408255146123,0
33574.38868284032,1063.778609056837,0
30316.44404356013,-11202.288540585396,0
-11333.704515379995,6075.423795324112,0
17153.896950171926,-10533.644443552046,1
10111.664936850968,10063.27856097635,0
-14205.639964129214,-2701.4350506652477,0
-13439.805697124535,-1914.7982941989355,0
5409.367818867155,11451.588027678745,0
1511.2660872951164,-1985.2538117338381,0
1892.506976825538,-5056.823670405314,0
-1779.7043601062178,-4064.010119014143,0
-14437.573280958128,-2060.410021018256,0
11546.009455611063,7625.01430232149,0
-7682.106162630193,1876.0835150929179,0
9129.570668671564,-10517.105325140164,1
-11370.059100765873,-2187.4425405645065,0
-9452.360785189121,-2220.5580606457024,0
-1260.2374124675862,6878.960784836017,1
